alias,title,id,name,review_count,rating,price,coordinates_latitude,coordinates_longitude,location_address1,categoria_estandarizada,rating_ponderado
wine_bars,Wine Bars,L0SpO9Eb6fHIZ5ljKpdAow,Queen Mary Tavern,156,4.4,$$,41.9028282165527,-87.6807403564453,2125 W Division St,Otro,4.379485776805248
seafood,Seafood,L0SpO9Eb6fHIZ5ljKpdAow,Queen Mary Tavern,156,4.4,$$,41.9028282165527,-87.6807403564453,2125 W Division St,Mariscos/Pescado,4.379485776805248
ukrainian,Ukrainian,56HWQzYO2hLhREjlmq6tGg,Tryzub Ukrainian Kitchen,369,4.4,$$,41.8958059,-87.6819438,2201 W Chicago Ave,Otro,4.3845140041245605
breakfast_brunch,Breakfast & Brunch,56HWQzYO2hLhREjlmq6tGg,Tryzub Ukrainian Kitchen,369,4.4,$$,41.8958059,-87.6819438,2201 W Chicago Ave,Carnes,4.3845140041245605
venues,Venues & Event Spaces,56HWQzYO2hLhREjlmq6tGg,Tryzub Ukrainian Kitchen,369,4.4,$$,41.8958059,-87.6819438,2201 W Chicago Ave,Otro,4.3845140041245605
newamerican,New American,HaX1xkisTWetyKUkuBAzzQ,Mother’s Ruin,137,4.2,$$,41.93495,-87.71647,2943 N Milwaukee Ave,Carnes,4.3358597638685135
burgers,Burgers,HaX1xkisTWetyKUkuBAzzQ,Mother’s Ruin,137,4.2,$$,41.93495,-87.71647,2943 N Milwaukee Ave,Carnes,4.3358597638685135
cocktailbars,Cocktail Bars,HaX1xkisTWetyKUkuBAzzQ,Mother’s Ruin,137,4.2,$$,41.93495,-87.71647,2943 N Milwaukee Ave,Otro,4.3358597638685135
newamerican,New American,hBb2RcUVumohfY2kbGKvKQ,HIDE+SEEK,374,4.0,,41.884684,-87.648983,838 W Randolph St,Carnes,4.21343554872339
cocktailbars,Cocktail Bars,hBb2RcUVumohfY2kbGKvKQ,HIDE+SEEK,374,4.0,,41.884684,-87.648983,838 W Randolph St,Otro,4.21343554872339
breakfast_brunch,Breakfast & Brunch,hBb2RcUVumohfY2kbGKvKQ,HIDE+SEEK,374,4.0,,41.884684,-87.648983,838 W Randolph St,Carnes,4.21343554872339
burgers,Burgers,wjKVqZA4xhk2VQmPvY8QOw,Smash Jibarito,31,4.4,,41.90314374863983,-87.69087952573605,2534 W Division St,Carnes,4.374656628218912
puertorican,Puerto Rican,wjKVqZA4xhk2VQmPvY8QOw,Smash Jibarito,31,4.4,,41.90314374863983,-87.69087952573605,2534 W Division St,Otro,4.374656628218912
southern,Southern,mOFO7fl4Fmw4IIoHNSGxjw,Cleo's,8,4.6,,41.933096147016016,-87.65971396118402,2826 N Lincoln Ave,Otro,4.376658798394179
wine_bars,Wine Bars,xoMP81mJ2ZtS87pZ3SmvQg,Pompette,90,4.3,,41.917622217230715,-87.67786379903555,1960 N Damen Ave,Otro,4.361936728108886
cafes,Cafes,xoMP81mJ2ZtS87pZ3SmvQg,Pompette,90,4.3,,41.917622217230715,-87.67786379903555,1960 N Damen Ave,Otro,4.361936728108886
hawaiian,Hawaiian,WKnFuCJs6k2R4jvClolFBg,Hawaiian Bros Island Grill,162,3.9,,41.94555723982787,-87.70954454435207,3517 N Spaulding Ave,Otro,4.2573152108523304
cuban,Cuban,hP2L8k60R9er1VnzLHSlEA,Bayan Ko Diner,119,4.3,,41.9616342616918,-87.67544956204071,1820 W Montrose Ave,Otro,4.359035007405885
filipino,Filipino,hP2L8k60R9er1VnzLHSlEA,Bayan Ko Diner,119,4.3,,41.9616342616918,-87.67544956204071,1820 W Montrose Ave,Carnes,4.359035007405885
indpak,Indian,lrwkR8IVohWQM551BUYcZQ,Superkhana International,236,4.3,$$,41.9318,-87.70481,3059 W Diversey Ave,Carnes,4.349650366282939
cajun,Cajun/Creole,yR8gj8GjnfSaGFE8ZWq9cw,Blue Bayou,24,3.5,,41.94996596605908,-87.66444604843855,3734 N Southport Ave,Otro,4.333096697679853
tradamerican,American,2yhOI2wUzocjbnwcffvEsw,Chef Art Smith's Reunion,286,4.0,$$,41.891079151313114,-87.61091017398391,700 E Grand Ave,Carnes,4.237331640692421
southern,Southern,2yhOI2wUzocjbnwcffvEsw,Chef Art Smith's Reunion,286,4.0,$$,41.891079151313114,-87.61091017398391,700 E Grand Ave,Otro,4.237331640692421
chickenshop,Chicken Shop,2yhOI2wUzocjbnwcffvEsw,Chef Art Smith's Reunion,286,4.0,$$,41.891079151313114,-87.61091017398391,700 E Grand Ave,Otro,4.237331640692421
sushi,Sushi Bars,NMhq1mBTxwmvxzmUB9BbrA,Taste of Japan,31,4.7,,41.886037,-87.633631,201 N Wells St,Otro,4.392170752512698
japacurry,Japanese Curry,NMhq1mBTxwmvxzmUB9BbrA,Taste of Japan,31,4.7,,41.886037,-87.633631,201 N Wells St,Otro,4.392170752512698
ramen,Ramen,NMhq1mBTxwmvxzmUB9BbrA,Taste of Japan,31,4.7,,41.886037,-87.633631,201 N Wells St,Mariscos/Pescado,4.392170752512698
steak,Steakhouses,EFbXRCyUZnB-BMPP_LxkVQ,Susu,4,4.3,,41.88484,-87.64487,652 W Randolph St,Carnes,4.372505296794133
mediterranean,Mediterranean,EFbXRCyUZnB-BMPP_LxkVQ,Susu,4,4.3,,41.88484,-87.64487,652 W Randolph St,Vegetariano/Vegano,4.372505296794133
asianfusion,Asian Fusion,EFbXRCyUZnB-BMPP_LxkVQ,Susu,4,4.3,,41.88484,-87.64487,652 W Randolph St,Vegetariano/Vegano,4.372505296794133
diners,Diners,R7d-mz-fVtheQJvZE7sXhA,Little Goat Diner,309,3.6,$$,41.942313,-87.663544,3325 N Southport Ave,Otro,4.077803052638125
breakfast_brunch,Breakfast & Brunch,R7d-mz-fVtheQJvZE7sXhA,Little Goat Diner,309,3.6,$$,41.942313,-87.663544,3325 N Southport Ave,Carnes,4.077803052638125
newamerican,New American,R7d-mz-fVtheQJvZE7sXhA,Little Goat Diner,309,3.6,$$,41.942313,-87.663544,3325 N Southport Ave,Carnes,4.077803052638125
ukrainian,Ukrainian,olWKKjgEfAwx-n_P0xHMuQ,Anelya,73,4.2,,41.94420561608926,-87.70565751940012,3472 N Elston Ave,Otro,4.351034327372152
bars,Bars,olWKKjgEfAwx-n_P0xHMuQ,Anelya,73,4.2,,41.94420561608926,-87.70565751940012,3472 N Elston Ave,Otro,4.351034327372152
comfortfood,Comfort Food,olWKKjgEfAwx-n_P0xHMuQ,Anelya,73,4.2,,41.94420561608926,-87.70565751940012,3472 N Elston Ave,Otro,4.351034327372152
italian,Italian,SXRUKDBRsBoVKmtp8aU6qw,Zarella Pizzeria & Taverna,229,4.5,,41.89176,-87.63384,531 N Wells St.,Vegetariano/Vegano,4.412952907522967
pizza,Pizza,SXRUKDBRsBoVKmtp8aU6qw,Zarella Pizzeria & Taverna,229,4.5,,41.89176,-87.63384,531 N Wells St.,Vegetariano/Vegano,4.412952907522967
brasseries,Brasseries,0B0drAinOYAUbNA1soK6zA,Copper Club,36,4.1,,41.882255359057474,-87.63013837565235,70 W Madison St,Otro,4.3547437865377665
breakfast_brunch,Breakfast & Brunch,0B0drAinOYAUbNA1soK6zA,Copper Club,36,4.1,,41.882255359057474,-87.63013837565235,70 W Madison St,Carnes,4.3547437865377665
japanese,Japanese,eCTlRnC9FOtNkmw-Q2DTcw,Itoko,254,4.2,$$$$,41.94235,-87.6635,3325 N Southport Ave,Mariscos/Pescado,4.314778076371675
sushi,Sushi Bars,eCTlRnC9FOtNkmw-Q2DTcw,Itoko,254,4.2,$$$$,41.94235,-87.6635,3325 N Southport Ave,Otro,4.314778076371675
bars,Bars,Ki9_2R3o8kGtOBfJh1nrWg,Hiro Izakaya,45,4.1,,41.89629251797387,-87.66753327101469,1600 W Chicago Ave,Otro,4.350537008411456
izakaya,Izakaya,Ki9_2R3o8kGtOBfJh1nrWg,Hiro Izakaya,45,4.1,,41.89629251797387,-87.66753327101469,1600 W Chicago Ave,Mariscos/Pescado,4.350537008411456
mexican,Mexican,dNahrgb_2WkgA4ZhONEHuA,Botanero,32,4.4,,41.907463476993115,-87.6672637090087,1413 N Ashland Ave,Carnes,4.374704266135795
